; Author: Bill Henderson
; Created 10/12/1999
;
; Tweaked by Shturmovik2
; Realistic Handling & Physics 1.1 mod
;
; > COMMENTS <
; ------------
; TWEAK AT YOUR OWN RISK
;
; > UNITS <
; ---------
; vehicle identifier 14 characters max
; dimensions in metres
; mass in Kg
; velocity in Km/h
; acceleration/deceleration in ms-2
; multipliers x1.0 is default
; angles in degrees
; Levels :- (L)ow, (M)edium, (H)igh
; buoyancy = percent submerged (> 100% vehicle sinks)
; engine type :- (P)etrol, (D)iesel, (E)lectric
; engine drive :- (F)ront, (R)ear, (4)-wheel drive
;
; > FIELD DESCRIPTIONS <
; ----------------------
; (A) vehicle identifier			[14 characters max]
; (B) fMass					
; (C) fDragMult				
; (D) nPercentSubmerged				[10 to 120]
; (E) CentreOfMass.x				[-10.05 > x > 10.05]
; (F) CentreOfMass.y				[-10.05 > x > 10.05]
; (G) CentreOfMass.z				[-10.05 > x > 10.05]
;
; TRANSMISSION
; (Tt)	m_nDriveBias				1.0 = front wheel drive, 0.05 = rear wheel drive
; (Tg)	m_nDriveGears
; (Tf)	m_fDriveForce
; (Ti)	m_fDriveInertia
; (Tv)	m_fV
; (Tb)	m_fBrakeForce
; (Tbb)	m_fBrakeBias
; (Ts)	m_fSteeringLock
;
; WHEEL TRACTION
; (Wc+) m_fTractionCurveMax				(formerly fTractionMult)
; (Wc-) m_fTractionCurveMin				(formerly fTractionLoss)
; (Wc-) m_fTractionCurveLateral			(shape of lateral traction curve (peak traction position in degrees)
; (Wc|) m_fTractionCurveLongitudinal	(shape of longituduinal traction curve (peak traction position in degrees)
; (Ws+) m_fTractionSpringDeltaMax		(max dist for traction spring)
; (Wh) m_fTractionBias
;
; SUSPENSION
; (Sf)	m_fSuspensionForce				(1 / (Force * NumWheels) = Lower limit for zero force at full extension
; (Scd)	m_fSuspensionCompDamp
; (Srd)	m_fSuspensionReboundDamp
; (Su)	m_fSuspensionUpperLimit
; (Sl)	m_fSuspensionLowerLimit
; (Sr)	m_fSuspensionRaise
; (Sb)	m_fSuspensionBias
;
; DAMAGE
; (Dc)	m_fCollisionDamageMult
; (Dw)	m_fWeaponDamageMult
; (Dd)	m_fDeformationDamageMult
; (De)	m_fEngineDamageMult
;
; MISC
; (Ms)	m_fSeatOffsetDist
; (Mv)	m_nMonetaryValue
; (Mmf)	mFlags			(model flags - see below)
; (Mhf) hFlags			(handling flags - see below)
; (Ma)	m_nAnimGroup	(anim group type - see below below)
;
; MODEL FLAGS - written HEX for easier reading of flags
;	1st digit	1: IS_VAN			2: IS_BUS			4: IS_LOW				8: IS_BIG
;	2nd digit	1: ABS_STD			2: ABS_OPTION		4: ABS_ALT_STD			8: ABS_ALT_OPTION
;	3rd digit	1: NO_DOORS			2: TANDEM_SEATS		4: SIT_IN_BOAT			8: N/A
;	4th digit	1: NO_EXHAUST		2: DOUBLE_EXHAUST	4: NO1FPS_LOOK_BEHIND	8: CAN_ENTER_IF_NO_DOOR
;	5th digit	1: AXLE_F_NOTILT	2: AXLE_F_SOLID		4: AXLE_F_MCPHERSON		8: AXLE_F_REVERSE
;	6th digit	1: AXLE_R_NOTILT	2: AXLE_R_SOLID		4: AXLE_R_MCPHERSON		8: AXLE_R_REVERSE
;	7th digit	1: IS_BIKE			2: IS_HELI			4: IS_PLANE				8: IS_BOAT
;	8th digit	1: BOUNCE_PANELS	2: DOUBLE_RWHEELS	4: FORCE_GROUND_CLEARANCE	8: IS_HATCHBACK
;
; HANDLING FLAGS - written HEX for easier reading of flags
;	1st digit	1: SMOOTH_COMPRESN	2: N/A				4: NPC_ANTI_ROLL		8: NPC_NEUTRAL_HANDL
;	2nd digit	1: NO_HANDBRAKE		2: STEER_REARWHEELS 4: HB_REARWHEEL_STEER	8: ALT_STEER_OPT
;	3rd digit	1: WHEEL_F_NARROW2	2: WHEEL_F_NARROW	4: WHEEL_F_WIDE			8: WHEEL_F_WIDE2
;	4th digit	1: WHEEL_R_NARROW2	2: WHEEL_R_NARROW	4: WHEEL_R_WIDE			8: WHEEL_R_WIDE2
;	5th digit	1: HYDRAULIC_GEOM 	2: HYDRAULIC_INST	4: HYDRAULIC_NONE		8: NOS_INST
;	6th digit	1: OFFROAD_ABILITY	2: OFFROAD_ABILITY2	4: HALOGEN_LIGHTS		8: PROC_REARWHEEL_1ST
;	7th digit	1: USE_MAXSP_LIMIT	2: LOW_RIDER		4: STREET_RACER
;	8th digit	1: SWINGING_CHASSIS	2: OLD_PHYSICS
;
; > THE DATA <
; name       mass    drag  boy  centreofmass  		transmission		 	brakes         steer	wheel-traction       	    	suspension									damage   			seat val     	mflags      hflags			anim
; A          B       C     D    E   F    G    		Tt   Tg Tf	  Ti  Tv	Tb   Tbb  Thb  Ts    	Wc+  Wc-  Wc-  Ws+  Wbias		Sf   Scd  Srd  Su    Sl   Sr   Sb   		Dc  Dw  Dd  De		Ms   Mv			Mmf 		Mhf	 			Ma
;
ADMIRAL 1800.05 1.5 85 0.055 0.053 -0.22-0.053 0.05 4 0.45 1.0 180.05 0.300.70.05.50 35.0 1.300.88 12.2 0.055 0.48 3.7 1.1 1.1 0.10 -0.14-0.053 0.05 0.5 1.0.05.6 0.8 1.5 0.05 250.05 004400.05 0.050.0500.05
AIRTUG 1300.05 3.5 85 0.05 0.05 -0.15-0.053 0.05 3 0.401.0 70.05 0.280.65 0.60 33.0 1.120.88 11.0.05.10.05.49 5.0 1.5 1.5 0.10 -0.10.05.03 0.05 0.5 1.0.05.6 0.8 1.5 0.05 150.05 00440.050.050.050.050.05
AMBULANCE 3200.05 1.2 80.05.0 -0.3 -0.12-0.053 0.05 4 0.431.0 150.05 0.260.68 0.45 37.0 1.120.86 12.9 0.055 0.482 2.7 0.9 0.9 0.10 -0.170.052 0.4 1.0.05.6 0.8 1.5 0.05 40.050.050.050.2200.050.050 2
BANSHEE 1600.05 1.5 88 0.05 0.055 -0.22-0.053 0.05 6 0.371.0.310.05 0.300.60.05.55 32.0 1.75 1.42 10.8 0.055 0.495 6.0 2.2 2.2 0.057 -0.058 0.051 0.49 1.0.05.6 0.8 1.5 0.05 80.050.050440810.050.050.050 1
BIFF 8500.05 1.0 80.05.0 -0.059 -0.058-0.053 0.05.160.180.3 150.05 0.2 0.60.05.3 40.05 0.98 0.88 12.7 0.055 0.48 2.8 0.8 1.0.05.15-0.18-0.053 0.05 0.5 1.0.05.6 0.8 1.5 0.05 40.050.050224048 00.050.050 2
